State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.708,3.994,4.243,4.025,U.S Dollar,US Gallon,2025-09-04
Alaska,AK,Fairbanks,3.809,4.105,4.343,4.201,U.S Dollar,US Gallon,2025-09-04
Alaska,AK,Juneau,3.783,3.794,3.891,4.469,U.S Dollar,US Gallon,2025-09-04
Alabama,AL,Anniston-Oxford,2.746,3.133,3.561,3.306,U.S Dollar,US Gallon,2025-09-04
Alabama,AL,Auburn,2.85,3.284,3.684,3.376,U.S Dollar,US Gallon,2025-09-04
Alabama,AL,Birmingham,2.842,3.325,3.729,3.514,U.S Dollar,US Gallon,2025-09-04
Alabama,AL,Daphne-Fairhope-Foley,2.873,3.329,3.702,3.449,U.S Dollar,US Gallon,2025-09-04
Alabama,AL,Decatur,2.76,3.215,3.58,3.318,U.S Dollar,US Gallon,2025-09-04
Alabama,AL,Dothan,2.885,3.294,3.695,3.578,U.S Dollar,US Gallon,2025-09-04
Alabama,AL,Florence-Muscle Shoals,2.806,3.239,3.608,3.3,U.S Dollar,US Gallon,2025-09-04
Alabama,AL,Gadsden,2.76,3.226,3.583,3.31,U.S Dollar,US Gallon,2025-09-04
Alabama,AL,Huntsville,2.792,3.24,3.58,3.368,U.S Dollar,US Gallon,2025-09-04
Alabama,AL,Mobile,2.832,3.305,3.666,3.453,U.S Dollar,US Gallon,2025-09-04
Alabama,AL,Montgomery,2.888,3.352,3.771,3.467,U.S Dollar,US Gallon,2025-09-04
Alabama,AL,Russell County,2.873,3.303,3.687,3.452,U.S Dollar,US Gallon,2025-09-04
Alabama,AL,Tuscaloosa,2.824,3.262,3.649,3.432,U.S Dollar,US Gallon,2025-09-04
Arkansas,AR,Fayetteville-Springdale-Rogers,2.837,3.254,3.521,3.372,U.S Dollar,US Gallon,2025-09-04
Arkansas,AR,Fort Smith (AR only),2.792,3.25,3.564,3.372,U.S Dollar,US Gallon,2025-09-04
Arkansas,AR,Hot Springs,2.726,3.22,3.634,3.303,U.S Dollar,US Gallon,2025-09-04
Arkansas,AR,Jonesboro,2.823,3.254,3.696,3.414,U.S Dollar,US Gallon,2025-09-04
Arkansas,AR,Little Rock-North Little Rock,2.789,3.226,3.635,3.342,U.S Dollar,US Gallon,2025-09-04
Arkansas,AR,Pine Bluff,2.791,3.357,3.641,3.406,U.S Dollar,US Gallon,2025-09-04
Arkansas,AR,Texarkana (AR only),2.819,3.237,3.718,3.275,U.S Dollar,US Gallon,2025-09-04
Arkansas,AR,West Memphis,2.82,3.221,3.675,3.384,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,East Valley,3.774,4.147,4.447,3.646,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,Flagstaff,3.191,3.417,3.826,3.638,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,Glendale,3.77,4.152,4.411,3.604,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,Lake Havasu-Kingman,3.229,3.524,3.857,3.752,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,Peoria,3.777,4.136,4.446,3.652,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,Phoenix Proper,3.77,4.146,4.455,3.622,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,Phoenix-Mesa,3.756,4.129,4.431,3.649,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,Pima County,3.139,3.503,3.827,3.529,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,Prescott,3.228,3.456,3.819,3.645,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,Scottsdale,3.856,4.2,4.518,3.777,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,Sierra Vista-Douglas,3.125,3.427,3.728,3.601,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,Tucson,3.133,3.501,3.821,3.529,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,West Valley,3.763,4.13,4.414,3.61,U.S Dollar,US Gallon,2025-09-04
Arizona,AZ,Yuma,3.158,3.552,3.849,3.64,U.S Dollar,US Gallon,2025-09-04
California,CA,Bakersfield,4.534,4.758,4.965,5.144,U.S Dollar,US Gallon,2025-09-04
California,CA,Chico-Paradise,4.462,4.609,4.916,4.933,U.S Dollar,US Gallon,2025-09-04
California,CA,El Centro,4.357,4.546,4.704,4.893,U.S Dollar,US Gallon,2025-09-04
California,CA,Fresno,4.591,4.844,5.072,5.202,U.S Dollar,US Gallon,2025-09-04
California,CA,Hanford-Corcoran,4.423,4.728,4.881,5.0,U.S Dollar,US Gallon,2025-09-04
California,CA,Los Angeles-Long Beach,4.641,4.869,5.03,5.147,U.S Dollar,US Gallon,2025-09-04
California,CA,Madera-Chowchilla,4.629,4.907,4.996,5.235,U.S Dollar,US Gallon,2025-09-04
California,CA,Merced,4.512,4.816,5.046,5.178,U.S Dollar,US Gallon,2025-09-04
California,CA,Modesto,4.389,4.686,4.887,5.176,U.S Dollar,US Gallon,2025-09-04
California,CA,Napa,4.841,4.995,5.179,5.238,U.S Dollar,US Gallon,2025-09-04
California,CA,Oakland,4.638,4.894,5.075,5.227,U.S Dollar,US Gallon,2025-09-04
California,CA,Orange County,4.611,4.829,4.981,5.013,U.S Dollar,US Gallon,2025-09-04
California,CA,Redding,4.409,4.589,4.768,4.945,U.S Dollar,US Gallon,2025-09-04
California,CA,Riverside,4.482,4.724,4.899,5.018,U.S Dollar,US Gallon,2025-09-04
California,CA,Sacramento,4.564,4.828,5.041,5.205,U.S Dollar,US Gallon,2025-09-04
California,CA,Salinas,4.78,4.99,5.169,5.458,U.S Dollar,US Gallon,2025-09-04
California,CA,San Bernardino,4.522,4.732,4.918,5.048,U.S Dollar,US Gallon,2025-09-04
California,CA,San Diego,4.694,4.926,5.088,5.01,U.S Dollar,US Gallon,2025-09-04
California,CA,San Francisco,4.725,4.932,5.097,5.279,U.S Dollar,US Gallon,2025-09-04
California,CA,San Jose,4.566,4.796,4.972,5.179,U.S Dollar,US Gallon,2025-09-04
California,CA,San Luis Obispo-Atascadero-Paso Robles,4.913,5.118,5.293,5.448,U.S Dollar,US Gallon,2025-09-04
California,CA,San Rafael,4.722,4.913,5.125,5.28,U.S Dollar,US Gallon,2025-09-04
California,CA,Santa Barbara-Santa Maria-Lompoc,4.628,4.775,4.979,5.102,U.S Dollar,US Gallon,2025-09-04
California,CA,Santa Cruz-Watsonville,4.662,4.873,5.115,5.333,U.S Dollar,US Gallon,2025-09-04
California,CA,Santa Rosa,4.782,5.012,5.197,5.305,U.S Dollar,US Gallon,2025-09-04
California,CA,Stockton-Lodi,4.484,4.737,4.952,5.136,U.S Dollar,US Gallon,2025-09-04
California,CA,Vallejo-Fairfield,4.543,4.802,4.985,5.15,U.S Dollar,US Gallon,2025-09-04
California,CA,Ventura,4.65,4.873,5.038,5.188,U.S Dollar,US Gallon,2025-09-04
California,CA,Visalia-Tulare-Porterville,4.516,4.846,5.04,5.114,U.S Dollar,US Gallon,2025-09-04
California,CA,Yolo,4.49,4.786,4.935,5.146,U.S Dollar,US Gallon,2025-09-04
California,CA,Yuba City,4.336,4.624,4.794,4.957,U.S Dollar,US Gallon,2025-09-04
Colorado,CO,Boulder-Longmont,3.243,3.695,4.034,3.656,U.S Dollar,US Gallon,2025-09-04
Colorado,CO,Colorado Springs,3.268,3.671,3.997,3.632,U.S Dollar,US Gallon,2025-09-04
Colorado,CO,Denver,3.296,3.72,4.044,3.609,U.S Dollar,US Gallon,2025-09-04
Colorado,CO,Durango,3.263,3.564,3.888,3.587,U.S Dollar,US Gallon,2025-09-04
Colorado,CO,Fort Collins-Loveland,3.17,3.571,3.954,3.533,U.S Dollar,US Gallon,2025-09-04
Colorado,CO,Glenwood Springs,3.645,4.071,4.285,3.782,U.S Dollar,US Gallon,2025-09-04
Colorado,CO,Grand Junction (CO only),3.238,3.555,3.914,3.748,U.S Dollar,US Gallon,2025-09-04
Colorado,CO,Greeley,3.214,3.567,3.936,3.57,U.S Dollar,US Gallon,2025-09-04
Colorado,CO,Pueblo,3.049,3.451,3.8,3.457,U.S Dollar,US Gallon,2025-09-04
Colorado,CO,Vail,3.604,3.939,4.245,3.747,U.S Dollar,US Gallon,2025-09-04
Connecticut,CT,Bridgeport,3.225,3.864,4.203,3.798,U.S Dollar,US Gallon,2025-09-04
Connecticut,CT,Hartford,3.163,3.746,4.123,3.788,U.S Dollar,US Gallon,2025-09-04
Connecticut,CT,Lower Fairfield County,3.202,3.845,4.141,3.792,U.S Dollar,US Gallon,2025-09-04
Connecticut,CT,New Haven-Meriden,3.14,3.689,4.036,3.783,U.S Dollar,US Gallon,2025-09-04
Connecticut,CT,New London-Norwich (CT only),3.176,3.661,4.057,3.691,U.S Dollar,US Gallon,2025-09-04
Connecticut,CT,Windham,3.215,3.702,4.015,3.697,U.S Dollar,US Gallon,2025-09-04
District of Columbia,DC,Washington (DC only),3.248,3.782,4.202,3.814,U.S Dollar,US Gallon,2025-09-04
District of Columbia,DC,Washington (Entire Metro Average),3.082,3.616,3.97,3.746,U.S Dollar,US Gallon,2025-09-04
Delaware,DE,Dover,3.122,3.592,3.939,3.788,U.S Dollar,US Gallon,2025-09-04
Delaware,DE,Milford-Seaford,3.102,3.521,3.853,3.789,U.S Dollar,US Gallon,2025-09-04
Delaware,DE,Wilmington-Newark (DE only),3.066,3.748,3.988,3.718,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Bradenton-Sarasota-Venice,3.162,3.63,3.929,3.662,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Crestview-Fort Walton Beach,2.927,3.338,3.721,3.488,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Daytona Beach,3.166,3.613,3.928,3.68,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Fort Lauderdale,3.161,3.614,3.894,3.638,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Fort Myers-Cape Coral,3.173,3.644,3.932,3.688,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Gainesville,3.177,3.641,4.007,3.699,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Homosassa Springs,3.188,3.624,3.966,3.707,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Jacksonville,3.156,3.571,3.925,3.682,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Lakeland-Winter Haven,3.155,3.602,3.93,3.661,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Melbourne-Titusville,3.152,3.588,3.936,3.683,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Miami,3.079,3.522,3.737,3.559,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Naples,3.214,3.663,3.963,3.712,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Ocala,3.181,3.606,3.962,3.704,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Orlando,3.17,3.6,3.911,3.68,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Panama City,2.939,3.346,3.765,3.564,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Pensacola,2.988,3.431,3.799,3.588,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Port St. Lucie,3.176,3.616,3.919,3.689,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Punta Gorda,3.154,3.625,3.927,3.664,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Sebastian-Vero Beach,3.157,3.636,3.951,3.698,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Sebring,3.161,3.611,3.903,3.687,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Tallahassee,2.977,3.443,3.821,3.607,U.S Dollar,US Gallon,2025-09-04
Florida,FL,Tampa-St. Petersburg-Clearwater,3.175,3.637,3.96,3.68,U.S Dollar,US Gallon,2025-09-04
Florida,FL,The Villages,3.166,3.586,3.947,3.732,U.S Dollar,US Gallon,2025-09-04
Florida,FL,West Palm Beach-Boca Raton,3.282,3.765,4.084,3.714,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Albany,2.921,3.333,3.704,3.519,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Athens,2.904,3.342,3.768,3.516,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Atlanta,2.903,3.365,3.779,3.583,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Augusta-Aiken (GA only),2.927,3.432,3.826,3.496,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Brunswick,2.964,3.421,3.805,3.564,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Catoosa-Dade-Walker,2.865,3.385,3.775,3.353,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Columbus (GA only),2.932,3.359,3.784,3.57,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Dalton,2.871,3.35,3.679,3.496,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Gainesville,2.863,3.297,3.687,3.51,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Hinesville-Fort Stewart,3.044,3.387,3.791,3.524,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Macon,2.941,3.397,3.807,3.598,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Rome,2.852,3.382,3.771,3.501,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Savannah,3.075,3.513,3.898,3.626,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Valdosta,2.945,3.376,3.713,3.435,U.S Dollar,US Gallon,2025-09-04
Georgia,GA,Warner Robins,2.903,3.341,3.735,3.505,U.S Dollar,US Gallon,2025-09-04
