State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.711,3.995,4.227,4.019,U.S Dollar,US Gallon,2025-08-15
Alaska,AK,Fairbanks,3.833,4.099,4.318,4.135,U.S Dollar,US Gallon,2025-08-15
Alaska,AK,Juneau,3.811,3.782,3.888,4.469,U.S Dollar,US Gallon,2025-08-15
Alabama,AL,Anniston-Oxford,2.711,3.137,3.489,3.375,U.S Dollar,US Gallon,2025-08-15
Alabama,AL,Auburn,2.768,3.148,3.54,3.375,U.S Dollar,US Gallon,2025-08-15
Alabama,AL,Birmingham,2.775,3.264,3.665,3.499,U.S Dollar,US Gallon,2025-08-15
Alabama,AL,Daphne-Fairhope-Foley,2.839,3.293,3.676,3.477,U.S Dollar,US Gallon,2025-08-15
Alabama,AL,Decatur,2.725,3.153,3.529,3.318,U.S Dollar,US Gallon,2025-08-15
Alabama,AL,Dothan,2.834,3.229,3.636,3.568,U.S Dollar,US Gallon,2025-08-15
Alabama,AL,Florence-Muscle Shoals,2.729,3.128,3.524,3.299,U.S Dollar,US Gallon,2025-08-15
Alabama,AL,Gadsden,2.655,3.103,3.495,3.344,U.S Dollar,US Gallon,2025-08-15
Alabama,AL,Huntsville,2.779,3.23,3.578,3.385,U.S Dollar,US Gallon,2025-08-15
Alabama,AL,Mobile,2.785,3.253,3.594,3.431,U.S Dollar,US Gallon,2025-08-15
Alabama,AL,Montgomery,2.825,3.275,3.698,3.482,U.S Dollar,US Gallon,2025-08-15
Alabama,AL,Russell County,2.857,3.277,3.591,3.495,U.S Dollar,US Gallon,2025-08-15
Alabama,AL,Tuscaloosa,2.71,3.129,3.538,3.395,U.S Dollar,US Gallon,2025-08-15
Arkansas,AR,Fayetteville-Springdale-Rogers,2.776,3.173,3.458,3.324,U.S Dollar,US Gallon,2025-08-15
Arkansas,AR,Fort Smith (AR only),2.745,3.155,3.503,3.354,U.S Dollar,US Gallon,2025-08-15
Arkansas,AR,Hot Springs,2.64,3.17,3.554,3.313,U.S Dollar,US Gallon,2025-08-15
Arkansas,AR,Jonesboro,2.704,3.079,3.67,3.418,U.S Dollar,US Gallon,2025-08-15
Arkansas,AR,Little Rock-North Little Rock,2.73,3.182,3.581,3.318,U.S Dollar,US Gallon,2025-08-15
Arkansas,AR,Pine Bluff,2.778,3.29,3.637,3.462,U.S Dollar,US Gallon,2025-08-15
Arkansas,AR,Texarkana (AR only),2.771,3.225,3.556,3.31,U.S Dollar,US Gallon,2025-08-15
Arkansas,AR,West Memphis,2.79,3.138,3.623,3.512,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,East Valley,3.378,3.75,4.071,3.614,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,Flagstaff,3.081,3.361,3.687,3.608,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,Glendale,3.377,3.736,4.083,3.579,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,Lake Havasu-Kingman,3.118,3.435,3.763,3.718,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,Peoria,3.366,3.733,4.053,3.641,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,Phoenix Proper,3.366,3.748,4.057,3.596,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,Phoenix-Mesa,3.365,3.736,4.052,3.628,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,Pima County,3.029,3.382,3.699,3.548,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,Prescott,3.149,3.388,3.759,3.651,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,Scottsdale,3.474,3.829,4.15,3.746,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,Sierra Vista-Douglas,3.038,3.326,3.599,3.57,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,Tucson,3.026,3.381,3.697,3.542,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,West Valley,3.361,3.722,4.055,3.587,U.S Dollar,US Gallon,2025-08-15
Arizona,AZ,Yuma,2.95,3.364,3.647,3.573,U.S Dollar,US Gallon,2025-08-15
California,CA,Bakersfield,4.45,4.681,4.92,5.144,U.S Dollar,US Gallon,2025-08-15
California,CA,Chico-Paradise,4.432,4.626,4.81,4.977,U.S Dollar,US Gallon,2025-08-15
California,CA,El Centro,4.235,4.415,4.581,4.885,U.S Dollar,US Gallon,2025-08-15
California,CA,Fresno,4.56,4.83,5.014,5.194,U.S Dollar,US Gallon,2025-08-15
California,CA,Hanford-Corcoran,4.377,4.673,4.788,4.987,U.S Dollar,US Gallon,2025-08-15
California,CA,Los Angeles-Long Beach,4.468,4.713,4.876,5.117,U.S Dollar,US Gallon,2025-08-15
