State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.538,3.838,4.032,3.611,U.S Dollar,US Gallon,2025-06-09
Alaska,AK,Fairbanks,3.67,3.947,4.174,3.728,U.S Dollar,US Gallon,2025-06-09
Alaska,AK,Juneau,3.782,3.698,3.789,3.869,U.S Dollar,US Gallon,2025-06-09
Alabama,AL,Anniston-Oxford,2.71,3.047,3.505,3.202,U.S Dollar,US Gallon,2025-06-09
Alabama,AL,Auburn,2.73,3.108,3.521,3.058,U.S Dollar,US Gallon,2025-06-09
Alabama,AL,Birmingham,2.72,3.163,3.587,3.261,U.S Dollar,US Gallon,2025-06-09
Alabama,AL,Daphne-Fairhope-Foley,2.741,3.168,3.564,3.217,U.S Dollar,US Gallon,2025-06-09
Alabama,AL,Decatur,2.64,3.083,3.456,3.184,U.S Dollar,US Gallon,2025-06-09
Alabama,AL,Dothan,2.75,3.127,3.512,3.373,U.S Dollar,US Gallon,2025-06-09
Alabama,AL,Florence-Muscle Shoals,2.688,3.09,3.47,3.157,U.S Dollar,US Gallon,2025-06-09
Alabama,AL,Gadsden,2.62,3.031,3.475,3.08,U.S Dollar,US Gallon,2025-06-09
Alabama,AL,Huntsville,2.68,3.107,3.455,3.206,U.S Dollar,US Gallon,2025-06-09
Alabama,AL,Mobile,2.721,3.152,3.532,3.161,U.S Dollar,US Gallon,2025-06-09
Alabama,AL,Montgomery,2.755,3.176,3.58,3.201,U.S Dollar,US Gallon,2025-06-09
Alabama,AL,Russell County,2.79,3.204,3.588,3.316,U.S Dollar,US Gallon,2025-06-09
Alabama,AL,Tuscaloosa,2.667,3.079,3.49,3.262,U.S Dollar,US Gallon,2025-06-09
Arkansas,AR,Fayetteville-Springdale-Rogers,2.719,3.094,3.375,3.067,U.S Dollar,US Gallon,2025-06-09
Arkansas,AR,Fort Smith (AR only),2.697,3.076,3.409,3.094,U.S Dollar,US Gallon,2025-06-09
Arkansas,AR,Hot Springs,2.716,3.185,3.565,3.189,U.S Dollar,US Gallon,2025-06-09
Arkansas,AR,Jonesboro,2.652,3.024,3.532,3.145,U.S Dollar,US Gallon,2025-06-09
Arkansas,AR,Little Rock-North Little Rock,2.695,3.128,3.517,3.108,U.S Dollar,US Gallon,2025-06-09
Arkansas,AR,Pine Bluff,2.708,3.278,3.698,3.181,U.S Dollar,US Gallon,2025-06-09
Arkansas,AR,Texarkana (AR only),2.775,3.215,3.633,3.201,U.S Dollar,US Gallon,2025-06-09
Arkansas,AR,West Memphis,2.754,3.225,3.61,3.263,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,East Valley,3.52,3.866,4.174,3.402,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,Flagstaff,3.137,3.405,3.828,3.344,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,Glendale,3.464,3.828,4.119,3.379,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,Lake Havasu-Kingman,3.142,3.328,3.705,3.535,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,Peoria,3.443,3.801,4.136,3.49,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,Phoenix Proper,3.431,3.772,4.078,3.36,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,Phoenix-Mesa,3.454,3.803,4.117,3.413,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,Pima County,2.97,3.303,3.613,3.293,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,Prescott,3.152,3.42,3.783,3.531,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,Scottsdale,3.596,3.931,4.258,3.638,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,Sierra Vista-Douglas,2.968,3.168,3.548,3.329,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,Tucson,2.965,3.301,3.613,3.278,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,West Valley,3.435,3.788,4.097,3.397,U.S Dollar,US Gallon,2025-06-09
Arizona,AZ,Yuma,2.908,3.292,3.593,3.369,U.S Dollar,US Gallon,2025-06-09
California,CA,Bakersfield,4.694,4.892,5.123,5.014,U.S Dollar,US Gallon,2025-06-09
California,CA,Chico-Paradise,4.696,4.843,5.044,5.039,U.S Dollar,US Gallon,2025-06-09
California,CA,El Centro,4.311,4.473,4.64,4.734,U.S Dollar,US Gallon,2025-06-09
California,CA,Fresno,4.737,4.944,5.166,5.227,U.S Dollar,US Gallon,2025-06-09
California,CA,Hanford-Corcoran,4.589,4.682,4.934,4.979,U.S Dollar,US Gallon,2025-06-09
California,CA,Los Angeles-Long Beach,4.693,4.889,5.074,4.95,U.S Dollar,US Gallon,2025-06-09
California,CA,Madera-Chowchilla,4.773,5.083,5.203,5.224,U.S Dollar,US Gallon,2025-06-09
California,CA,Merced,4.626,4.919,5.146,5.149,U.S Dollar,US Gallon,2025-06-09
California,CA,Modesto,4.524,4.794,5.0,5.242,U.S Dollar,US Gallon,2025-06-09
California,CA,Napa,5.064,5.262,5.437,5.358,U.S Dollar,US Gallon,2025-06-09
California,CA,Oakland,4.824,5.069,5.247,5.28,U.S Dollar,US Gallon,2025-06-09
California,CA,Orange County,4.603,4.81,4.969,4.769,U.S Dollar,US Gallon,2025-06-09
California,CA,Redding,4.542,4.635,4.862,4.961,U.S Dollar,US Gallon,2025-06-09
California,CA,Riverside,4.511,4.735,4.913,4.786,U.S Dollar,US Gallon,2025-06-09
California,CA,Sacramento,4.724,4.95,5.179,5.217,U.S Dollar,US Gallon,2025-06-09
California,CA,Salinas,4.973,5.174,5.364,5.508,U.S Dollar,US Gallon,2025-06-09
California,CA,San Bernardino,4.539,4.726,4.926,4.842,U.S Dollar,US Gallon,2025-06-09
California,CA,San Diego,4.701,4.896,5.082,4.818,U.S Dollar,US Gallon,2025-06-09
California,CA,San Francisco,4.924,5.128,5.305,5.441,U.S Dollar,US Gallon,2025-06-09
California,CA,San Jose,4.785,4.992,5.165,5.255,U.S Dollar,US Gallon,2025-06-09
California,CA,San Luis Obispo-Atascadero-Paso Robles,4.958,5.175,5.339,5.376,U.S Dollar,US Gallon,2025-06-09
California,CA,San Rafael,4.853,5.087,5.271,5.455,U.S Dollar,US Gallon,2025-06-09
California,CA,Santa Barbara-Santa Maria-Lompoc,4.591,4.775,4.927,4.884,U.S Dollar,US Gallon,2025-06-09
California,CA,Santa Cruz-Watsonville,4.961,5.22,5.389,5.352,U.S Dollar,US Gallon,2025-06-09
California,CA,Santa Rosa,4.96,5.175,5.363,5.382,U.S Dollar,US Gallon,2025-06-09
California,CA,Stockton-Lodi,4.627,4.872,5.089,5.176,U.S Dollar,US Gallon,2025-06-09
California,CA,Vallejo-Fairfield,4.762,5.019,5.192,5.261,U.S Dollar,US Gallon,2025-06-09
California,CA,Ventura,4.728,4.916,5.096,5.023,U.S Dollar,US Gallon,2025-06-09
California,CA,Visalia-Tulare-Porterville,4.731,4.975,5.203,5.118,U.S Dollar,US Gallon,2025-06-09
California,CA,Yolo,4.679,4.905,5.083,5.019,U.S Dollar,US Gallon,2025-06-09
California,CA,Yuba City,4.485,4.789,5.0,5.035,U.S Dollar,US Gallon,2025-06-09
