State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.708,3.981,4.22,4.028,U.S Dollar,US Gallon,2025-08-27
Alaska,AK,Fairbanks,3.809,4.065,4.252,4.182,U.S Dollar,US Gallon,2025-08-27
Alaska,AK,Juneau,3.758,3.821,3.865,4.469,U.S Dollar,US Gallon,2025-08-27
Alabama,AL,Anniston-Oxford,2.755,3.133,3.584,3.359,U.S Dollar,US Gallon,2025-08-27
Alabama,AL,Auburn,2.839,3.237,3.67,3.435,U.S Dollar,US Gallon,2025-08-27
Alabama,AL,Birmingham,2.804,3.288,3.702,3.506,U.S Dollar,US Gallon,2025-08-27
Alabama,AL,Daphne-Fairhope-Foley,2.855,3.329,3.711,3.465,U.S Dollar,US Gallon,2025-08-27
Alabama,AL,Decatur,2.747,3.2,3.558,3.34,U.S Dollar,US Gallon,2025-08-27
Alabama,AL,Dothan,2.849,3.261,3.626,3.565,U.S Dollar,US Gallon,2025-08-27
Alabama,AL,Florence-Muscle Shoals,2.834,3.231,3.632,3.299,U.S Dollar,US Gallon,2025-08-27
Alabama,AL,Gadsden,2.74,3.139,3.561,3.322,U.S Dollar,US Gallon,2025-08-27
Alabama,AL,Huntsville,2.81,3.272,3.605,3.37,U.S Dollar,US Gallon,2025-08-27
Alabama,AL,Mobile,2.837,3.33,3.664,3.484,U.S Dollar,US Gallon,2025-08-27
Alabama,AL,Montgomery,2.856,3.297,3.735,3.486,U.S Dollar,US Gallon,2025-08-27
Alabama,AL,Russell County,2.856,3.311,3.669,3.48,U.S Dollar,US Gallon,2025-08-27
Alabama,AL,Tuscaloosa,2.779,3.232,3.64,3.436,U.S Dollar,US Gallon,2025-08-27
Arkansas,AR,Fayetteville-Springdale-Rogers,2.813,3.219,3.481,3.348,U.S Dollar,US Gallon,2025-08-27
Arkansas,AR,Fort Smith (AR only),2.772,3.218,3.556,3.368,U.S Dollar,US Gallon,2025-08-27
Arkansas,AR,Hot Springs,2.724,3.259,3.656,3.303,U.S Dollar,US Gallon,2025-08-27
Arkansas,AR,Jonesboro,2.754,3.184,3.597,3.421,U.S Dollar,US Gallon,2025-08-27
Arkansas,AR,Little Rock-North Little Rock,2.763,3.22,3.612,3.306,U.S Dollar,US Gallon,2025-08-27
Arkansas,AR,Pine Bluff,2.784,3.292,3.633,3.463,U.S Dollar,US Gallon,2025-08-27
Arkansas,AR,Texarkana (AR only),2.741,3.23,3.591,3.301,U.S Dollar,US Gallon,2025-08-27
Arkansas,AR,West Memphis,2.79,3.223,3.673,3.409,U.S Dollar,US Gallon,2025-08-27
Arizona,AZ,East Valley,3.633,4.019,4.328,3.627,U.S Dollar,US Gallon,2025-08-27
Arizona,AZ,Flagstaff,3.133,3.4,3.78,3.638,U.S Dollar,US Gallon,2025-08-27
Arizona,AZ,Glendale,3.621,4.013,4.338,3.581,U.S Dollar,US Gallon,2025-08-27
Arizona,AZ,Lake Havasu-Kingman,3.215,3.521,3.866,3.724,U.S Dollar,US Gallon,2025-08-27
Arizona,AZ,Peoria,3.644,4.024,4.335,3.617,U.S Dollar,US Gallon,2025-08-27
Arizona,AZ,Phoenix Proper,3.632,4.018,4.323,3.614,U.S Dollar,US Gallon,2025-08-27
Arizona,AZ,Phoenix-Mesa,3.619,4.0,4.311,3.632,U.S Dollar,US Gallon,2025-08-27
Arizona,AZ,Pima County,3.127,3.499,3.822,3.526,U.S Dollar,US Gallon,2025-08-27
