State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.683,3.988,4.221,4.036,U.S Dollar,US Gallon,2025-08-01
Alaska,AK,Fairbanks,3.812,4.046,4.304,4.116,U.S Dollar,US Gallon,2025-08-01
Alaska,AK,Juneau,3.698,3.698,3.843,4.346,U.S Dollar,US Gallon,2025-08-01
Alabama,AL,Anniston-Oxford,2.724,3.07,3.487,3.422,U.S Dollar,US Gallon,2025-08-01
Alabama,AL,Auburn,2.777,3.185,3.601,3.359,U.S Dollar,US Gallon,2025-08-01
Alabama,AL,Birmingham,2.788,3.261,3.666,3.508,U.S Dollar,US Gallon,2025-08-01
Alabama,AL,Daphne-Fairhope-Foley,2.819,3.284,3.669,3.469,U.S Dollar,US Gallon,2025-08-01
Alabama,AL,Decatur,2.715,3.162,3.539,3.359,U.S Dollar,US Gallon,2025-08-01
Alabama,AL,Dothan,2.835,3.254,3.616,3.599,U.S Dollar,US Gallon,2025-08-01
Alabama,AL,Florence-Muscle Shoals,2.754,3.154,3.545,3.311,U.S Dollar,US Gallon,2025-08-01
Alabama,AL,Gadsden,2.664,3.112,3.526,3.38,U.S Dollar,US Gallon,2025-08-01
Alabama,AL,Huntsville,2.746,3.173,3.519,3.415,U.S Dollar,US Gallon,2025-08-01
Alabama,AL,Mobile,2.792,3.285,3.639,3.511,U.S Dollar,US Gallon,2025-08-01
Alabama,AL,Montgomery,2.821,3.289,3.713,3.493,U.S Dollar,US Gallon,2025-08-01
Alabama,AL,Russell County,2.876,3.296,3.638,3.539,U.S Dollar,US Gallon,2025-08-01
Alabama,AL,Tuscaloosa,2.749,3.196,3.608,3.418,U.S Dollar,US Gallon,2025-08-01
Arkansas,AR,Fayetteville-Springdale-Rogers,2.811,3.225,3.487,3.404,U.S Dollar,US Gallon,2025-08-01
Arkansas,AR,Fort Smith (AR only),2.756,3.124,3.516,3.386,U.S Dollar,US Gallon,2025-08-01
Arkansas,AR,Hot Springs,2.705,3.207,3.563,3.332,U.S Dollar,US Gallon,2025-08-01
Arkansas,AR,Jonesboro,2.718,3.107,3.59,3.436,U.S Dollar,US Gallon,2025-08-01
Arkansas,AR,Little Rock-North Little Rock,2.75,3.211,3.609,3.358,U.S Dollar,US Gallon,2025-08-01
Arkansas,AR,Pine Bluff,2.795,3.288,3.743,3.492,U.S Dollar,US Gallon,2025-08-01
Arkansas,AR,Texarkana (AR only),2.817,3.293,3.643,3.398,U.S Dollar,US Gallon,2025-08-01
Arkansas,AR,West Memphis,2.848,3.339,3.681,3.541,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,East Valley,3.355,3.731,4.051,3.631,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,Flagstaff,3.077,3.344,3.737,3.642,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,Glendale,3.279,3.643,3.977,3.644,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,Lake Havasu-Kingman,3.137,3.388,3.727,3.805,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,Peoria,3.294,3.667,3.985,3.648,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,Phoenix Proper,3.26,3.638,3.944,3.615,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,Phoenix-Mesa,3.296,3.668,3.98,3.645,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,Pima County,3.067,3.422,3.73,3.62,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,Prescott,3.153,3.411,3.785,3.669,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,Scottsdale,3.397,3.753,4.06,3.724,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,Sierra Vista-Douglas,3.034,3.344,3.669,3.633,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,Tucson,3.061,3.416,3.725,3.617,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,West Valley,3.267,3.637,3.963,3.625,U.S Dollar,US Gallon,2025-08-01
Arizona,AZ,Yuma,3.06,3.457,3.771,3.605,U.S Dollar,US Gallon,2025-08-01
California,CA,Bakersfield,4.453,4.695,4.934,5.141,U.S Dollar,US Gallon,2025-08-01
California,CA,Chico-Paradise,4.469,4.637,4.841,5.041,U.S Dollar,US Gallon,2025-08-01
California,CA,El Centro,4.241,4.403,4.608,4.945,U.S Dollar,US Gallon,2025-08-01
California,CA,Fresno,4.554,4.814,5.028,5.217,U.S Dollar,US Gallon,2025-08-01
California,CA,Hanford-Corcoran,4.336,4.571,4.838,4.984,U.S Dollar,US Gallon,2025-08-01
California,CA,Los Angeles-Long Beach,4.473,4.706,4.858,5.151,U.S Dollar,US Gallon,2025-08-01
California,CA,Madera-Chowchilla,4.583,4.757,4.985,5.203,U.S Dollar,US Gallon,2025-08-01
California,CA,Merced,4.374,4.749,4.974,5.19,U.S Dollar,US Gallon,2025-08-01
California,CA,Modesto,4.264,4.531,4.742,5.258,U.S Dollar,US Gallon,2025-08-01
California,CA,Napa,4.815,4.968,5.217,5.368,U.S Dollar,US Gallon,2025-08-01
California,CA,Oakland,4.56,4.815,4.987,5.31,U.S Dollar,US Gallon,2025-08-01
California,CA,Orange County,4.418,4.637,4.789,5.03,U.S Dollar,US Gallon,2025-08-01
California,CA,Redding,4.331,4.466,4.681,5.019,U.S Dollar,US Gallon,2025-08-01
California,CA,Riverside,4.308,4.566,4.733,5.069,U.S Dollar,US Gallon,2025-08-01
California,CA,Sacramento,4.486,4.763,4.957,5.299,U.S Dollar,US Gallon,2025-08-01
California,CA,Salinas,4.726,4.941,5.102,5.453,U.S Dollar,US Gallon,2025-08-01
California,CA,San Bernardino,4.351,4.547,4.737,5.088,U.S Dollar,US Gallon,2025-08-01
California,CA,San Diego,4.544,4.762,4.93,5.033,U.S Dollar,US Gallon,2025-08-01
California,CA,San Francisco,4.678,4.877,5.071,5.388,U.S Dollar,US Gallon,2025-08-01
California,CA,San Jose,4.516,4.746,4.918,5.238,U.S Dollar,US Gallon,2025-08-01
California,CA,San Luis Obispo-Atascadero-Paso Robles,4.854,5.058,5.256,5.487,U.S Dollar,US Gallon,2025-08-01
California,CA,San Rafael,4.673,4.901,5.106,5.421,U.S Dollar,US Gallon,2025-08-01
California,CA,Santa Barbara-Santa Maria-Lompoc,4.423,4.619,4.789,5.114,U.S Dollar,US Gallon,2025-08-01
California,CA,Santa Cruz-Watsonville,4.632,4.868,5.076,5.313,U.S Dollar,US Gallon,2025-08-01
California,CA,Santa Rosa,4.756,4.978,5.168,5.439,U.S Dollar,US Gallon,2025-08-01
California,CA,Stockton-Lodi,4.376,4.653,4.852,5.215,U.S Dollar,US Gallon,2025-08-01
California,CA,Vallejo-Fairfield,4.52,4.787,4.967,5.239,U.S Dollar,US Gallon,2025-08-01
California,CA,Ventura,4.507,4.728,4.89,5.189,U.S Dollar,US Gallon,2025-08-01
California,CA,Visalia-Tulare-Porterville,4.469,4.757,4.934,5.119,U.S Dollar,US Gallon,2025-08-01
California,CA,Yolo,4.44,4.75,4.968,5.188,U.S Dollar,US Gallon,2025-08-01
California,CA,Yuba City,4.268,4.548,4.738,5.072,U.S Dollar,US Gallon,2025-08-01
Colorado,CO,Boulder-Longmont,3.077,3.506,3.862,3.549,U.S Dollar,US Gallon,2025-08-01
Colorado,CO,Colorado Springs,2.844,3.246,3.568,3.435,U.S Dollar,US Gallon,2025-08-01
Colorado,CO,Denver,2.941,3.363,3.686,3.452,U.S Dollar,US Gallon,2025-08-01
Colorado,CO,Durango,3.025,3.292,3.642,3.584,U.S Dollar,US Gallon,2025-08-01
Colorado,CO,Fort Collins-Loveland,2.906,3.285,3.619,3.381,U.S Dollar,US Gallon,2025-08-01
Colorado,CO,Glenwood Springs,3.27,3.755,3.88,3.791,U.S Dollar,US Gallon,2025-08-01
Colorado,CO,Grand Junction (CO only),3.158,3.481,3.818,3.668,U.S Dollar,US Gallon,2025-08-01
Colorado,CO,Greeley,2.839,3.231,3.554,3.408,U.S Dollar,US Gallon,2025-08-01
Colorado,CO,Pueblo,2.854,3.259,3.588,3.399,U.S Dollar,US Gallon,2025-08-01
Colorado,CO,Vail,3.349,3.635,3.927,3.709,U.S Dollar,US Gallon,2025-08-01
Connecticut,CT,Bridgeport,3.189,3.805,4.183,3.828,U.S Dollar,US Gallon,2025-08-01
Connecticut,CT,Hartford,3.1,3.701,4.084,3.815,U.S Dollar,US Gallon,2025-08-01
Connecticut,CT,Lower Fairfield County,3.155,3.771,4.135,3.815,U.S Dollar,US Gallon,2025-08-01
Connecticut,CT,New Haven-Meriden,3.081,3.666,4.017,3.79,U.S Dollar,US Gallon,2025-08-01
Connecticut,CT,New London-Norwich (CT only),3.107,3.639,4.007,3.726,U.S Dollar,US Gallon,2025-08-01
Connecticut,CT,Windham,3.144,3.561,3.944,3.773,U.S Dollar,US Gallon,2025-08-01
District of Columbia,DC,Washington (DC only),3.327,3.8,4.259,3.821,U.S Dollar,US Gallon,2025-08-01
District of Columbia,DC,Washington (Entire Metro Average),3.173,3.699,4.059,3.808,U.S Dollar,US Gallon,2025-08-01
Delaware,DE,Dover,3.169,3.633,3.985,3.845,U.S Dollar,US Gallon,2025-08-01
Delaware,DE,Milford-Seaford,3.165,3.589,3.943,3.826,U.S Dollar,US Gallon,2025-08-01
Delaware,DE,Wilmington-Newark (DE only),3.132,3.782,4.028,3.828,U.S Dollar,US Gallon,2025-08-01
Florida,FL,Bradenton-Sarasota-Venice,2.928,3.382,3.686,3.612,U.S Dollar,US Gallon,2025-08-01
Florida,FL,Crestview-Fort Walton Beach,2.883,3.321,3.706,3.531,U.S Dollar,US Gallon,2025-08-01
Florida,FL,Daytona Beach,2.966,3.371,3.72,3.594,U.S Dollar,US Gallon,2025-08-01
Florida,FL,Fort Lauderdale,2.983,3.478,3.765,3.571,U.S Dollar,US Gallon,2025-08-01
Florida,FL,Fort Myers-Cape Coral,2.96,3.437,3.728,3.575,U.S Dollar,US Gallon,2025-08-01
Florida,FL,Gainesville,3.092,3.549,3.891,3.643,U.S Dollar,US Gallon,2025-08-01
Florida,FL,Homosassa Springs,3.016,3.425,3.762,3.643,U.S Dollar,US Gallon,2025-08-01
