State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.646,3.902,4.168,3.886,U.S Dollar,US Gallon,2025-07-03
Alaska,AK,Fairbanks,3.791,4.056,4.3,3.987,U.S Dollar,US Gallon,2025-07-03
Alaska,AK,Juneau,3.707,3.689,3.863,4.143,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,Anniston-Oxford,2.702,3.045,3.49,3.33,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,Auburn,2.775,3.136,3.587,3.301,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,Birmingham,2.773,3.244,3.653,3.447,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,Daphne-Fairhope-Foley,2.8,3.258,3.647,3.388,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,Decatur,2.733,3.163,3.539,3.348,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,Dothan,2.802,3.189,3.549,3.499,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,Florence-Muscle Shoals,2.731,3.115,3.481,3.333,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,Gadsden,2.66,3.092,3.477,3.288,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,Huntsville,2.765,3.231,3.557,3.367,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,Mobile,2.772,3.215,3.576,3.429,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,Montgomery,2.783,3.243,3.651,3.423,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,Russell County,2.864,3.289,3.653,3.437,U.S Dollar,US Gallon,2025-07-03
Alabama,AL,Tuscaloosa,2.758,3.152,3.576,3.392,U.S Dollar,US Gallon,2025-07-03
Arkansas,AR,Fayetteville-Springdale-Rogers,2.803,3.207,3.49,3.306,U.S Dollar,US Gallon,2025-07-03
Arkansas,AR,Fort Smith (AR only),2.705,3.109,3.451,3.308,U.S Dollar,US Gallon,2025-07-03
Arkansas,AR,Hot Springs,2.733,3.281,3.676,3.313,U.S Dollar,US Gallon,2025-07-03
Arkansas,AR,Jonesboro,2.699,3.114,3.596,3.363,U.S Dollar,US Gallon,2025-07-03
Arkansas,AR,Little Rock-North Little Rock,2.74,3.189,3.602,3.3,U.S Dollar,US Gallon,2025-07-03
Arkansas,AR,Pine Bluff,2.807,3.38,3.679,3.422,U.S Dollar,US Gallon,2025-07-03
Arkansas,AR,Texarkana (AR only),2.888,3.346,3.781,3.33,U.S Dollar,US Gallon,2025-07-03
Arkansas,AR,West Memphis,2.812,3.273,3.608,3.42,U.S Dollar,US Gallon,2025-07-03
Arizona,AZ,East Valley,3.411,3.772,4.101,3.508,U.S Dollar,US Gallon,2025-07-03
Arizona,AZ,Flagstaff,3.152,3.448,3.805,3.551,U.S Dollar,US Gallon,2025-07-03
Arizona,AZ,Glendale,3.361,3.692,4.017,3.504,U.S Dollar,US Gallon,2025-07-03
Arizona,AZ,Lake Havasu-Kingman,3.18,3.41,3.793,3.721,U.S Dollar,US Gallon,2025-07-03
Arizona,AZ,Peoria,3.346,3.732,4.05,3.502,U.S Dollar,US Gallon,2025-07-03
Arizona,AZ,Phoenix Proper,3.334,3.69,3.997,3.507,U.S Dollar,US Gallon,2025-07-03
Arizona,AZ,Phoenix-Mesa,3.362,3.724,4.034,3.522,U.S Dollar,US Gallon,2025-07-03
Arizona,AZ,Pima County,3.014,3.361,3.67,3.46,U.S Dollar,US Gallon,2025-07-03
