State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.663,3.927,4.207,3.863,U.S Dollar,US Gallon,2025-06-26
Alaska,AK,Fairbanks,3.813,4.032,4.341,3.944,U.S Dollar,US Gallon,2025-06-26
Alaska,AK,Juneau,3.698,3.656,3.77,4.06,U.S Dollar,US Gallon,2025-06-26
Alabama,AL,Anniston-Oxford,2.795,3.146,3.56,3.418,U.S Dollar,US Gallon,2025-06-26
Alabama,AL,Auburn,2.828,3.261,3.595,3.362,U.S Dollar,US Gallon,2025-06-26
Alabama,AL,Birmingham,2.836,3.297,3.73,3.472,U.S Dollar,US Gallon,2025-06-26
Alabama,AL,Daphne-Fairhope-Foley,2.878,3.323,3.715,3.419,U.S Dollar,US Gallon,2025-06-26
Alabama,AL,Decatur,2.785,3.218,3.594,3.344,U.S Dollar,US Gallon,2025-06-26
Alabama,AL,Dothan,2.863,3.262,3.661,3.529,U.S Dollar,US Gallon,2025-06-26
Alabama,AL,Florence-Muscle Shoals,2.829,3.232,3.639,3.347,U.S Dollar,US Gallon,2025-06-26
Alabama,AL,Gadsden,2.757,3.2,3.609,3.291,U.S Dollar,US Gallon,2025-06-26
Alabama,AL,Huntsville,2.823,3.245,3.608,3.376,U.S Dollar,US Gallon,2025-06-26
Alabama,AL,Mobile,2.826,3.291,3.659,3.458,U.S Dollar,US Gallon,2025-06-26
Alabama,AL,Montgomery,2.846,3.309,3.7,3.442,U.S Dollar,US Gallon,2025-06-26
Alabama,AL,Russell County,2.888,3.284,3.652,3.436,U.S Dollar,US Gallon,2025-06-26
Alabama,AL,Tuscaloosa,2.831,3.275,3.68,3.435,U.S Dollar,US Gallon,2025-06-26
Arkansas,AR,Fayetteville-Springdale-Rogers,2.887,3.313,3.593,3.355,U.S Dollar,US Gallon,2025-06-26
Arkansas,AR,Fort Smith (AR only),2.772,3.174,3.538,3.33,U.S Dollar,US Gallon,2025-06-26
Arkansas,AR,Hot Springs,2.784,3.331,3.659,3.329,U.S Dollar,US Gallon,2025-06-26
Arkansas,AR,Jonesboro,2.772,3.13,3.645,3.405,U.S Dollar,US Gallon,2025-06-26
Arkansas,AR,Little Rock-North Little Rock,2.783,3.233,3.638,3.336,U.S Dollar,US Gallon,2025-06-26
Arkansas,AR,Pine Bluff,2.823,3.37,3.745,3.406,U.S Dollar,US Gallon,2025-06-26
Arkansas,AR,Texarkana (AR only),2.916,3.396,3.771,3.374,U.S Dollar,US Gallon,2025-06-26
