State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.859,4.186,4.386,4.067,U.S Dollar,US Gallon,2025-10-15
Alaska,AK,Fairbanks,3.855,4.181,4.379,4.169,U.S Dollar,US Gallon,2025-10-15
Alaska,AK,Juneau,3.907,3.881,3.987,4.463,U.S Dollar,US Gallon,2025-10-15
Alabama,AL,Anniston-Oxford,2.708,3.106,3.496,3.335,U.S Dollar,US Gallon,2025-10-15
Alabama,AL,Auburn,2.719,3.121,3.53,3.328,U.S Dollar,US Gallon,2025-10-15
Alabama,AL,Birmingham,2.745,3.239,3.651,3.451,U.S Dollar,US Gallon,2025-10-15
Alabama,AL,Daphne-Fairhope-Foley,2.751,3.2,3.603,3.42,U.S Dollar,US Gallon,2025-10-15
Alabama,AL,Decatur,2.617,3.052,3.424,3.233,U.S Dollar,US Gallon,2025-10-15
Alabama,AL,Dothan,2.741,3.174,3.551,3.521,U.S Dollar,US Gallon,2025-10-15
Alabama,AL,Florence-Muscle Shoals,2.688,3.102,3.516,3.25,U.S Dollar,US Gallon,2025-10-15
Alabama,AL,Gadsden,2.67,3.143,3.507,3.297,U.S Dollar,US Gallon,2025-10-15
Alabama,AL,Huntsville,2.707,3.164,3.525,3.333,U.S Dollar,US Gallon,2025-10-15
Alabama,AL,Mobile,2.712,3.192,3.514,3.429,U.S Dollar,US Gallon,2025-10-15
Alabama,AL,Montgomery,2.758,3.219,3.63,3.391,U.S Dollar,US Gallon,2025-10-15
Alabama,AL,Russell County,2.781,3.208,3.628,3.453,U.S Dollar,US Gallon,2025-10-15
Alabama,AL,Tuscaloosa,2.697,3.146,3.516,3.41,U.S Dollar,US Gallon,2025-10-15
Arkansas,AR,Fayetteville-Springdale-Rogers,2.601,2.976,3.313,3.213,U.S Dollar,US Gallon,2025-10-15
Arkansas,AR,Fort Smith (AR only),2.542,2.954,3.314,3.28,U.S Dollar,US Gallon,2025-10-15
Arkansas,AR,Hot Springs,2.564,3.137,3.44,3.217,U.S Dollar,US Gallon,2025-10-15
Arkansas,AR,Jonesboro,2.599,3.006,3.493,3.383,U.S Dollar,US Gallon,2025-10-15
Arkansas,AR,Little Rock-North Little Rock,2.585,3.071,3.459,3.259,U.S Dollar,US Gallon,2025-10-15
Arkansas,AR,Pine Bluff,2.716,3.319,3.606,3.393,U.S Dollar,US Gallon,2025-10-15
Arkansas,AR,Texarkana (AR only),2.692,3.162,3.515,3.202,U.S Dollar,US Gallon,2025-10-15
Arkansas,AR,West Memphis,2.716,3.097,3.491,3.358,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,East Valley,3.723,4.103,4.412,3.609,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,Flagstaff,3.256,3.543,3.897,3.693,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,Glendale,3.689,4.081,4.378,3.561,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,Lake Havasu-Kingman,3.243,3.555,3.898,3.761,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,Peoria,3.713,4.064,4.47,3.596,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,Phoenix Proper,3.677,4.065,4.377,3.576,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,Phoenix-Mesa,3.676,4.062,4.377,3.605,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,Pima County,3.148,3.535,3.848,3.493,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,Prescott,3.149,3.412,3.795,3.63,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,Scottsdale,3.777,4.124,4.456,3.778,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,Sierra Vista-Douglas,3.123,3.4,3.725,3.527,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,Tucson,3.154,3.542,3.853,3.506,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,West Valley,3.68,4.069,4.383,3.568,U.S Dollar,US Gallon,2025-10-15
Arizona,AZ,Yuma,3.166,3.532,3.855,3.648,U.S Dollar,US Gallon,2025-10-15
California,CA,Bakersfield,4.599,4.859,5.059,5.163,U.S Dollar,US Gallon,2025-10-15
California,CA,Chico-Paradise,4.451,4.644,4.888,4.93,U.S Dollar,US Gallon,2025-10-15
California,CA,El Centro,4.462,4.63,4.833,4.933,U.S Dollar,US Gallon,2025-10-15
California,CA,Fresno,4.593,4.89,5.075,5.213,U.S Dollar,US Gallon,2025-10-15
California,CA,Hanford-Corcoran,4.414,4.675,4.862,5.059,U.S Dollar,US Gallon,2025-10-15
California,CA,Los Angeles-Long Beach,4.704,4.926,5.085,5.147,U.S Dollar,US Gallon,2025-10-15
California,CA,Madera-Chowchilla,4.604,4.887,5.102,5.232,U.S Dollar,US Gallon,2025-10-15
California,CA,Merced,4.53,4.823,5.038,5.186,U.S Dollar,US Gallon,2025-10-15
California,CA,Modesto,4.421,4.686,4.912,5.169,U.S Dollar,US Gallon,2025-10-15
California,CA,Napa,4.794,4.991,5.133,5.223,U.S Dollar,US Gallon,2025-10-15
California,CA,Oakland,4.658,4.917,5.104,5.259,U.S Dollar,US Gallon,2025-10-15
California,CA,Orange County,4.67,4.896,5.05,5.013,U.S Dollar,US Gallon,2025-10-15
California,CA,Redding,4.437,4.574,4.779,4.926,U.S Dollar,US Gallon,2025-10-15
California,CA,Riverside,4.6,4.856,5.027,5.028,U.S Dollar,US Gallon,2025-10-15
California,CA,Sacramento,4.618,4.881,5.083,5.199,U.S Dollar,US Gallon,2025-10-15
California,CA,Salinas,4.772,4.957,5.181,5.424,U.S Dollar,US Gallon,2025-10-15
California,CA,San Bernardino,4.595,4.821,4.979,5.05,U.S Dollar,US Gallon,2025-10-15
California,CA,San Diego,4.764,4.99,5.172,5.043,U.S Dollar,US Gallon,2025-10-15
California,CA,San Francisco,4.776,5.006,5.164,5.337,U.S Dollar,US Gallon,2025-10-15
California,CA,San Jose,4.603,4.839,5.015,5.197,U.S Dollar,US Gallon,2025-10-15
California,CA,San Luis Obispo-Atascadero-Paso Robles,4.893,5.125,5.28,5.453,U.S Dollar,US Gallon,2025-10-15
California,CA,San Rafael,4.802,4.997,5.194,5.34,U.S Dollar,US Gallon,2025-10-15
California,CA,Santa Barbara-Santa Maria-Lompoc,4.64,4.824,5.028,5.132,U.S Dollar,US Gallon,2025-10-15
California,CA,Santa Cruz-Watsonville,4.65,4.926,5.146,5.285,U.S Dollar,US Gallon,2025-10-15
California,CA,Santa Rosa,4.808,5.019,5.219,5.326,U.S Dollar,US Gallon,2025-10-15
California,CA,Stockton-Lodi,4.516,4.771,4.985,5.14,U.S Dollar,US Gallon,2025-10-15
California,CA,Vallejo-Fairfield,4.586,4.874,5.053,5.199,U.S Dollar,US Gallon,2025-10-15
California,CA,Ventura,4.717,4.944,5.102,5.198,U.S Dollar,US Gallon,2025-10-15
California,CA,Visalia-Tulare-Porterville,4.511,4.751,4.96,5.064,U.S Dollar,US Gallon,2025-10-15
California,CA,Yolo,4.514,4.825,5.013,5.113,U.S Dollar,US Gallon,2025-10-15
California,CA,Yuba City,4.341,4.564,4.81,4.99,U.S Dollar,US Gallon,2025-10-15
Colorado,CO,Boulder-Longmont,2.962,3.411,3.751,3.49,U.S Dollar,US Gallon,2025-10-15
Colorado,CO,Colorado Springs,2.877,3.308,3.624,3.38,U.S Dollar,US Gallon,2025-10-15
Colorado,CO,Denver,2.812,3.236,3.552,3.297,U.S Dollar,US Gallon,2025-10-15
Colorado,CO,Durango,2.966,3.247,3.506,3.54,U.S Dollar,US Gallon,2025-10-15
Colorado,CO,Fort Collins-Loveland,2.848,3.255,3.575,3.29,U.S Dollar,US Gallon,2025-10-15
Colorado,CO,Glenwood Springs,3.28,3.73,3.819,3.777,U.S Dollar,US Gallon,2025-10-15
Colorado,CO,Grand Junction (CO only),3.168,3.494,3.856,3.655,U.S Dollar,US Gallon,2025-10-15
Colorado,CO,Greeley,2.72,3.138,3.449,3.257,U.S Dollar,US Gallon,2025-10-15
Colorado,CO,Pueblo,2.846,3.248,3.655,3.357,U.S Dollar,US Gallon,2025-10-15
Colorado,CO,Vail,3.493,3.843,4.149,3.58,U.S Dollar,US Gallon,2025-10-15
Connecticut,CT,Bridgeport,3.191,3.832,4.182,3.801,U.S Dollar,US Gallon,2025-10-15
Connecticut,CT,Hartford,3.049,3.697,4.077,3.787,U.S Dollar,US Gallon,2025-10-15
