State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.875,4.196,4.423,4.07,U.S Dollar,US Gallon,2025-09-26
Alaska,AK,Fairbanks,3.876,4.147,4.371,4.166,U.S Dollar,US Gallon,2025-09-26
Alaska,AK,Juneau,3.924,3.897,4.049,4.53,U.S Dollar,US Gallon,2025-09-26
Alabama,AL,Anniston-Oxford,2.742,3.143,3.527,3.327,U.S Dollar,US Gallon,2025-09-26
Alabama,AL,Auburn,2.771,3.167,3.511,3.36,U.S Dollar,US Gallon,2025-09-26
Alabama,AL,Birmingham,2.787,3.269,3.687,3.469,U.S Dollar,US Gallon,2025-09-26
Alabama,AL,Daphne-Fairhope-Foley,2.802,3.262,3.618,3.406,U.S Dollar,US Gallon,2025-09-26
Alabama,AL,Decatur,2.678,3.118,3.475,3.295,U.S Dollar,US Gallon,2025-09-26
Alabama,AL,Dothan,2.797,3.211,3.551,3.553,U.S Dollar,US Gallon,2025-09-26
Alabama,AL,Florence-Muscle Shoals,2.698,3.113,3.518,3.263,U.S Dollar,US Gallon,2025-09-26
Alabama,AL,Gadsden,2.67,3.156,3.516,3.279,U.S Dollar,US Gallon,2025-09-26
Alabama,AL,Huntsville,2.747,3.194,3.561,3.348,U.S Dollar,US Gallon,2025-09-26
Alabama,AL,Mobile,2.753,3.183,3.589,3.402,U.S Dollar,US Gallon,2025-09-26
Alabama,AL,Montgomery,2.803,3.261,3.678,3.392,U.S Dollar,US Gallon,2025-09-26
Alabama,AL,Russell County,2.834,3.288,3.702,3.448,U.S Dollar,US Gallon,2025-09-26
Alabama,AL,Tuscaloosa,2.753,3.193,3.593,3.435,U.S Dollar,US Gallon,2025-09-26
Arkansas,AR,Fayetteville-Springdale-Rogers,2.778,3.189,3.48,3.287,U.S Dollar,US Gallon,2025-09-26
Arkansas,AR,Fort Smith (AR only),2.654,3.104,3.458,3.334,U.S Dollar,US Gallon,2025-09-26
Arkansas,AR,Hot Springs,2.636,3.173,3.562,3.257,U.S Dollar,US Gallon,2025-09-26
Arkansas,AR,Jonesboro,2.766,3.184,3.586,3.402,U.S Dollar,US Gallon,2025-09-26
Arkansas,AR,Little Rock-North Little Rock,2.729,3.195,3.589,3.313,U.S Dollar,US Gallon,2025-09-26
Arkansas,AR,Pine Bluff,2.732,3.323,3.606,3.449,U.S Dollar,US Gallon,2025-09-26
