State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.705,4.007,4.245,4.02,U.S Dollar,US Gallon,2025-09-05
Alaska,AK,Fairbanks,3.809,4.143,4.363,4.201,U.S Dollar,US Gallon,2025-09-05
Alaska,AK,Juneau,3.82,3.794,3.905,4.469,U.S Dollar,US Gallon,2025-09-05
Alabama,AL,Anniston-Oxford,2.768,3.171,3.562,3.314,U.S Dollar,US Gallon,2025-09-05
Alabama,AL,Auburn,2.845,3.255,3.679,3.396,U.S Dollar,US Gallon,2025-09-05
Alabama,AL,Birmingham,2.849,3.329,3.73,3.512,U.S Dollar,US Gallon,2025-09-05
Alabama,AL,Daphne-Fairhope-Foley,2.867,3.355,3.719,3.448,U.S Dollar,US Gallon,2025-09-05
Alabama,AL,Decatur,2.763,3.22,3.599,3.325,U.S Dollar,US Gallon,2025-09-05
Alabama,AL,Dothan,2.876,3.282,3.701,3.58,U.S Dollar,US Gallon,2025-09-05
Alabama,AL,Florence-Muscle Shoals,2.806,3.211,3.588,3.291,U.S Dollar,US Gallon,2025-09-05
Alabama,AL,Gadsden,2.747,3.215,3.63,3.307,U.S Dollar,US Gallon,2025-09-05
Alabama,AL,Huntsville,2.79,3.241,3.575,3.37,U.S Dollar,US Gallon,2025-09-05
Alabama,AL,Mobile,2.837,3.267,3.654,3.459,U.S Dollar,US Gallon,2025-09-05
Alabama,AL,Montgomery,2.891,3.356,3.768,3.47,U.S Dollar,US Gallon,2025-09-05
Alabama,AL,Russell County,2.874,3.262,3.673,3.447,U.S Dollar,US Gallon,2025-09-05
Alabama,AL,Tuscaloosa,2.824,3.259,3.678,3.413,U.S Dollar,US Gallon,2025-09-05
Arkansas,AR,Fayetteville-Springdale-Rogers,2.863,3.241,3.535,3.381,U.S Dollar,US Gallon,2025-09-05
Arkansas,AR,Fort Smith (AR only),2.815,3.309,3.607,3.39,U.S Dollar,US Gallon,2025-09-05
Arkansas,AR,Hot Springs,2.761,3.284,3.661,3.307,U.S Dollar,US Gallon,2025-09-05
Arkansas,AR,Jonesboro,2.833,3.243,3.744,3.413,U.S Dollar,US Gallon,2025-09-05
Arkansas,AR,Little Rock-North Little Rock,2.813,3.256,3.645,3.346,U.S Dollar,US Gallon,2025-09-05
Arkansas,AR,Pine Bluff,2.778,3.306,3.629,3.423,U.S Dollar,US Gallon,2025-09-05
Arkansas,AR,Texarkana (AR only),2.847,3.291,3.743,3.301,U.S Dollar,US Gallon,2025-09-05
Arkansas,AR,West Memphis,2.857,3.269,3.71,3.416,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,East Valley,3.783,4.154,4.464,3.65,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,Flagstaff,3.208,3.456,3.824,3.659,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,Glendale,3.787,4.189,4.466,3.603,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,Lake Havasu-Kingman,3.251,3.554,3.932,3.751,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,Peoria,3.807,4.168,4.46,3.657,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,Phoenix Proper,3.78,4.161,4.474,3.629,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,Phoenix-Mesa,3.767,4.142,4.45,3.654,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,Pima County,3.145,3.516,3.83,3.537,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,Prescott,3.205,3.464,3.798,3.654,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,Scottsdale,3.875,4.212,4.53,3.772,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,Sierra Vista-Douglas,3.12,3.431,3.733,3.614,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,Tucson,3.14,3.512,3.823,3.539,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,West Valley,3.777,4.162,4.449,3.613,U.S Dollar,US Gallon,2025-09-05
Arizona,AZ,Yuma,3.155,3.56,3.857,3.625,U.S Dollar,US Gallon,2025-09-05
California,CA,Bakersfield,4.535,4.738,4.99,5.143,U.S Dollar,US Gallon,2025-09-05
California,CA,Chico-Paradise,4.47,4.621,4.89,4.961,U.S Dollar,US Gallon,2025-09-05
California,CA,El Centro,4.352,4.566,4.724,4.878,U.S Dollar,US Gallon,2025-09-05
California,CA,Fresno,4.593,4.865,5.048,5.222,U.S Dollar,US Gallon,2025-09-05
California,CA,Hanford-Corcoran,4.435,4.737,4.906,5.009,U.S Dollar,US Gallon,2025-09-05
California,CA,Los Angeles-Long Beach,4.644,4.874,5.03,5.151,U.S Dollar,US Gallon,2025-09-05
California,CA,Madera-Chowchilla,4.618,4.897,5.07,5.219,U.S Dollar,US Gallon,2025-09-05
California,CA,Merced,4.511,4.819,5.041,5.174,U.S Dollar,US Gallon,2025-09-05
California,CA,Modesto,4.387,4.682,4.882,5.176,U.S Dollar,US Gallon,2025-09-05
California,CA,Napa,4.83,4.993,5.206,5.289,U.S Dollar,US Gallon,2025-09-05
California,CA,Oakland,4.64,4.876,5.064,5.234,U.S Dollar,US Gallon,2025-09-05
California,CA,Orange County,4.618,4.835,4.989,5.012,U.S Dollar,US Gallon,2025-09-05
California,CA,Redding,4.391,4.571,4.763,4.937,U.S Dollar,US Gallon,2025-09-05
California,CA,Riverside,4.479,4.713,4.907,5.038,U.S Dollar,US Gallon,2025-09-05
California,CA,Sacramento,4.567,4.831,5.033,5.217,U.S Dollar,US Gallon,2025-09-05
California,CA,Salinas,4.778,4.972,5.158,5.45,U.S Dollar,US Gallon,2025-09-05
California,CA,San Bernardino,4.519,4.748,4.928,5.05,U.S Dollar,US Gallon,2025-09-05
California,CA,San Diego,4.698,4.929,5.094,5.017,U.S Dollar,US Gallon,2025-09-05
California,CA,San Francisco,4.727,4.945,5.086,5.281,U.S Dollar,US Gallon,2025-09-05
California,CA,San Jose,4.573,4.797,4.978,5.187,U.S Dollar,US Gallon,2025-09-05
California,CA,San Luis Obispo-Atascadero-Paso Robles,4.909,5.095,5.292,5.452,U.S Dollar,US Gallon,2025-09-05
California,CA,San Rafael,4.716,4.91,5.116,5.301,U.S Dollar,US Gallon,2025-09-05
California,CA,Santa Barbara-Santa Maria-Lompoc,4.597,4.806,4.994,5.122,U.S Dollar,US Gallon,2025-09-05
California,CA,Santa Cruz-Watsonville,4.652,4.887,5.08,5.29,U.S Dollar,US Gallon,2025-09-05
California,CA,Santa Rosa,4.776,5.022,5.192,5.334,U.S Dollar,US Gallon,2025-09-05
California,CA,Stockton-Lodi,4.493,4.749,4.963,5.141,U.S Dollar,US Gallon,2025-09-05
California,CA,Vallejo-Fairfield,4.542,4.798,4.992,5.158,U.S Dollar,US Gallon,2025-09-05
California,CA,Ventura,4.649,4.877,5.04,5.197,U.S Dollar,US Gallon,2025-09-05
California,CA,Visalia-Tulare-Porterville,4.503,4.826,5.007,5.107,U.S Dollar,US Gallon,2025-09-05
California,CA,Yolo,4.517,4.812,5.008,5.166,U.S Dollar,US Gallon,2025-09-05
California,CA,Yuba City,4.327,4.594,4.796,4.966,U.S Dollar,US Gallon,2025-09-05
Colorado,CO,Boulder-Longmont,3.238,3.695,4.015,3.634,U.S Dollar,US Gallon,2025-09-05
Colorado,CO,Colorado Springs,3.25,3.649,3.975,3.568,U.S Dollar,US Gallon,2025-09-05
Colorado,CO,Denver,3.278,3.707,4.027,3.589,U.S Dollar,US Gallon,2025-09-05
Colorado,CO,Durango,3.277,3.543,3.874,3.587,U.S Dollar,US Gallon,2025-09-05
Colorado,CO,Fort Collins-Loveland,3.139,3.531,3.866,3.481,U.S Dollar,US Gallon,2025-09-05
Colorado,CO,Glenwood Springs,3.669,4.231,4.309,3.793,U.S Dollar,US Gallon,2025-09-05
Colorado,CO,Grand Junction (CO only),3.235,3.555,3.921,3.741,U.S Dollar,US Gallon,2025-09-05
Colorado,CO,Greeley,3.191,3.597,3.908,3.542,U.S Dollar,US Gallon,2025-09-05
Colorado,CO,Pueblo,3.078,3.456,3.801,3.459,U.S Dollar,US Gallon,2025-09-05
Colorado,CO,Vail,3.6,3.89,4.227,3.747,U.S Dollar,US Gallon,2025-09-05
Connecticut,CT,Bridgeport,3.245,3.87,4.211,3.784,U.S Dollar,US Gallon,2025-09-05
Connecticut,CT,Hartford,3.177,3.755,4.131,3.788,U.S Dollar,US Gallon,2025-09-05
Connecticut,CT,Lower Fairfield County,3.222,3.846,4.126,3.794,U.S Dollar,US Gallon,2025-09-05
Connecticut,CT,New Haven-Meriden,3.162,3.718,4.052,3.788,U.S Dollar,US Gallon,2025-09-05
Connecticut,CT,New London-Norwich (CT only),3.199,3.684,4.091,3.674,U.S Dollar,US Gallon,2025-09-05
Connecticut,CT,Windham,3.233,3.687,4.038,3.676,U.S Dollar,US Gallon,2025-09-05
District of Columbia,DC,Washington (DC only),3.24,3.767,4.243,3.79,U.S Dollar,US Gallon,2025-09-05
District of Columbia,DC,Washington (Entire Metro Average),3.102,3.633,3.996,3.745,U.S Dollar,US Gallon,2025-09-05
Delaware,DE,Dover,3.15,3.599,3.909,3.79,U.S Dollar,US Gallon,2025-09-05
Delaware,DE,Milford-Seaford,3.141,3.543,3.869,3.782,U.S Dollar,US Gallon,2025-09-05
Delaware,DE,Wilmington-Newark (DE only),3.129,3.788,4.036,3.722,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Bradenton-Sarasota-Venice,3.149,3.618,3.908,3.658,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Crestview-Fort Walton Beach,2.939,3.327,3.726,3.496,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Daytona Beach,3.157,3.59,3.937,3.678,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Fort Lauderdale,3.157,3.61,3.897,3.641,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Fort Myers-Cape Coral,3.161,3.633,3.913,3.681,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Gainesville,3.178,3.634,3.998,3.693,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Homosassa Springs,3.186,3.61,3.955,3.715,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Jacksonville,3.149,3.579,3.923,3.692,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Lakeland-Winter Haven,3.144,3.576,3.914,3.65,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Melbourne-Titusville,3.154,3.599,3.946,3.692,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Miami,3.066,3.52,3.724,3.535,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Naples,3.201,3.66,3.946,3.707,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Ocala,3.174,3.597,3.943,3.715,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Orlando,3.156,3.585,3.895,3.675,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Panama City,2.925,3.327,3.73,3.584,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Pensacola,2.977,3.431,3.794,3.574,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Port St. Lucie,3.179,3.607,3.934,3.696,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Punta Gorda,3.134,3.6,3.888,3.665,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Sebastian-Vero Beach,3.149,3.607,3.95,3.692,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Sebring,3.156,3.587,3.891,3.679,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Tallahassee,2.972,3.439,3.815,3.617,U.S Dollar,US Gallon,2025-09-05
Florida,FL,Tampa-St. Petersburg-Clearwater,3.164,3.626,3.954,3.672,U.S Dollar,US Gallon,2025-09-05
Florida,FL,The Villages,3.144,3.564,3.938,3.709,U.S Dollar,US Gallon,2025-09-05
Florida,FL,West Palm Beach-Boca Raton,3.282,3.777,4.089,3.718,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Albany,2.91,3.316,3.727,3.5,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Athens,2.903,3.326,3.77,3.505,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Atlanta,2.905,3.362,3.782,3.58,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Augusta-Aiken (GA only),2.921,3.423,3.813,3.495,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Brunswick,2.969,3.413,3.766,3.641,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Catoosa-Dade-Walker,2.851,3.353,3.732,3.385,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Columbus (GA only),2.914,3.319,3.735,3.579,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Dalton,2.849,3.305,3.691,3.501,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Gainesville,2.876,3.288,3.7,3.544,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Hinesville-Fort Stewart,3.039,3.418,3.809,3.577,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Macon,2.942,3.374,3.793,3.583,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Rome,2.815,3.312,3.713,3.506,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Savannah,3.08,3.533,3.901,3.633,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Valdosta,2.95,3.368,3.726,3.459,U.S Dollar,US Gallon,2025-09-05
Georgia,GA,Warner Robins,2.904,3.301,3.675,3.507,U.S Dollar,US Gallon,2025-09-05
Hawaii,HI,Hilo,4.668,4.908,5.2,5.212,U.S Dollar,US Gallon,2025-09-05
Hawaii,HI,Honolulu,4.381,4.655,4.917,5.165,U.S Dollar,US Gallon,2025-09-05
Hawaii,HI,Kahului,4.468,4.651,4.852,5.505,U.S Dollar,US Gallon,2025-09-05
Hawaii,HI,Lihue (Kauai),5.003,5.28,5.521,5.792,U.S Dollar,US Gallon,2025-09-05
Hawaii,HI,Wailuku,4.468,4.651,4.852,5.505,U.S Dollar,US Gallon,2025-09-05
Iowa,IA,Ames,2.883,3.129,3.514,3.621,U.S Dollar,US Gallon,2025-09-05
Iowa,IA,Cedar Rapids,2.831,3.249,3.705,3.604,U.S Dollar,US Gallon,2025-09-05
Iowa,IA,Council Bluffs,2.909,3.232,3.805,3.496,U.S Dollar,US Gallon,2025-09-05
Iowa,IA,Davenport-Moline-Rock Island (IA only),2.781,3.117,3.737,3.597,U.S Dollar,US Gallon,2025-09-05
Iowa,IA,Des Moines,2.871,3.218,3.589,3.608,U.S Dollar,US Gallon,2025-09-05
Iowa,IA,Dubuque,2.977,3.218,3.864,3.547,U.S Dollar,US Gallon,2025-09-05
Iowa,IA,Iowa City,2.851,3.48,3.696,3.539,U.S Dollar,US Gallon,2025-09-05
